Sample_ID,Plant_Health_Status,Health_Status_Code,SPR_Signal_Intensity,Colorimetric_Response,Fluorescence_Intensity,Leaf_Temperature_C,VOC_Level,Ambient_Temperature_C,Relative_Humidity_pct,pH,SPR_Signal_Variability,Sensor_Noise_Level
PHB_00249,Early Disease,1,0.7199,0.2331,0.7232,24.113,1.2061,25.484,60.397,6.505,0.0354,0.0477
PHB_06562,Early Disease,1,0.7752,0.4022,0.818,26.746,1.1221,26.149,60.665,6.214,0.0457,0.0389
PHB_01340,Early Disease,1,0.6783,0.2404,0.6895,27.198,1.1816,27.04,60.13,6.298,0.0309,0.062
PHB_07018,Healthy,0,0.7292,0.1417,0.8544,24.375,0.9555,26.613,59.952,6.617,0.031,0.04
PHB_02111,Moderate Illness,2,0.5138,0.3772,0.5904,26.66,1.2102,24.303,58.794,6.242,0.0517,0.0718
PHB_01570,Early Disease,1,0.6235,0.2967,0.6691,24.844,1.4096,23.37,75.884,6.581,0.039,0.0803
PHB_01727,Early Disease,1,0.7278,0.4079,0.8047,25.58,1.087,23.98,59.555,6.479,0.0413,0.0273
PHB_08385,Healthy,0,0.7768,0.2214,0.9868,24.838,0.9667,27.572,75.377,6.394,0.0442,0.0309
PHB_06941,Moderate Illness,2,0.5197,0.5782,0.4743,26.054,1.3273,24.575,70.645,6.367,0.0424,0.0453
PHB_04396,Early Disease,1,0.6383,0.32,0.6774,26.238,1.0811,27.122,63.338,6.248,0.0426,0.0582
PHB_02421,Healthy,0,0.7633,0.0532,1.0657,23.566,1.0681,27.261,68.419,6.738,0.0401,0.0334
PHB_03046,Severe Disease,3,0.3765,0.6936,0.3775,26.974,1.6616,23.742,64.538,5.913,0.0435,0.0731
PHB_05504,Moderate Illness,2,0.5816,0.5365,0.6251,26.507,1.3976,25.791,79.296,6.297,0.0585,0.0584
PHB_03704,Moderate Illness,2,0.4758,0.5007,0.6545,27.719,1.1694,27.161,70.916,6.386,0.0413,0.0659
PHB_08192,Severe Disease,3,0.3649,0.6596,0.432,27.184,1.3503,23.407,68.237,6.019,0.0665,0.0757
PHB_05332,Moderate Illness,2,0.52,0.3722,0.6336,27.029,1.3695,24.562,66.405,6.749,0.0428,0.033
PHB_09809,Early Disease,1,0.7583,0.3089,0.669,26.09,1.1175,20.875,76.451,6.301,0.0373,0.0492
PHB_00448,Moderate Illness,2,0.4895,0.4945,0.7081,27.179,1.2254,24.976,67.594,6.109,0.0376,0.053
PHB_07895,Early Disease,1,0.7391,0.3591,0.708,25.684,1.0818,22.612,57.239,6.446,0.0286,0.066
PHB_08729,Healthy,0,0.7617,0.1029,0.9235,23.391,0.9114,24.14,64.14,6.541,0.0163,0.0588
PHB_07829,Severe Disease,3,0.3686,0.65,0.5113,26.286,1.1962,26.463,71.611,6.725,0.0695,0.0661
PHB_01769,Healthy,0,0.7445,0.1743,0.9978,24.602,1.1392,26.271,78.722,6.862,0.0269,0.0322
PHB_06809,Early Disease,1,0.6279,0.3145,0.744,24.98,1.1902,26.176,66.149,6.395,0.0532,0.0368
PHB_04705,Healthy,0,0.8639,0.0,0.9701,24.087,1.1896,25.781,69.442,6.314,0.0162,0.0319
PHB_03870,Early Disease,1,0.5832,0.3301,0.7589,25.304,1.2038,25.175,60.586,6.638,0.0222,0.0519
PHB_01656,Early Disease,1,0.6916,0.3628,0.8115,23.771,1.2357,22.532,67.533,6.135,0.0518,0.0557
PHB_03188,Severe Disease,3,0.3781,0.727,0.4088,27.128,1.2233,24.161,58.931,6.406,0.0864,0.0629
PHB_00684,Early Disease,1,0.6654,0.2627,0.6511,25.235,1.125,26.655,56.772,6.135,0.056,0.0643
PHB_04171,Severe Disease,3,0.3235,0.7382,0.5668,28.156,1.3941,22.413,51.169,6.197,0.0746,0.0732
PHB_04478,Healthy,0,0.7881,0.1263,0.9386,24.522,0.9841,25.471,65.87,6.521,0.0266,0.0396
PHB_00462,Healthy,0,0.8934,0.1527,0.8937,24.714,1.1713,27.36,68.082,6.736,0.0249,0.029
PHB_05765,Early Disease,1,0.5321,0.3414,0.6874,25.956,1.253,25.593,67.428,6.596,0.0382,0.0551
PHB_07523,Early Disease,1,0.6332,0.3109,0.7262,24.863,1.0926,22.309,68.165,6.316,0.0384,0.0321
PHB_04503,Moderate Illness,2,0.5037,0.4669,0.6598,27.633,1.294,27.902,71.817,6.465,0.05,0.046
PHB_09710,Moderate Illness,2,0.3372,0.5885,0.6612,24.819,1.2162,27.725,64.987,6.352,0.0639,0.069
PHB_00319,Early Disease,1,0.6746,0.3343,0.703,24.686,1.2338,29.147,67.89,6.971,0.0217,0.0449
PHB_01146,Early Disease,1,0.7106,0.3966,0.8458,25.113,1.1111,23.483,59.582,6.385,0.0538,0.0226
PHB_05095,Severe Disease,3,0.3237,0.7333,0.3995,27.188,1.5077,22.586,65.585,6.387,0.0557,0.079
PHB_01394,Healthy,0,0.7684,0.1666,0.7796,25.006,1.2175,25.151,69.733,6.158,0.0302,0.0307
PHB_06624,Early Disease,1,0.7059,0.3841,0.7035,26.175,1.251,23.525,70.034,6.382,0.0402,0.0151
PHB_01502,Severe Disease,3,0.3838,0.6871,0.5286,27.884,1.3717,22.418,52.24,6.447,0.0457,0.0844
PHB_06409,Moderate Illness,2,0.5472,0.5453,0.6321,26.079,1.3304,23.443,64.458,6.336,0.0432,0.0534
PHB_00377,Severe Disease,3,0.2904,0.7013,0.468,28.015,1.2021,26.912,63.08,6.028,0.0607,0.0678
PHB_00411,Moderate Illness,2,0.3951,0.5762,0.5262,26.418,1.3123,23.955,64.346,6.417,0.0362,0.0621
PHB_01661,Healthy,0,0.8775,0.128,0.976,24.093,1.0868,24.434,63.577,6.151,0.0255,0.028
PHB_03152,Moderate Illness,2,0.4556,0.4655,0.5984,25.004,1.3866,21.46,59.687,6.307,0.0603,0.0657
PHB_01624,Healthy,0,0.7836,0.1362,1.0252,24.994,1.1688,23.207,65.873,6.463,0.0233,0.0352
PHB_05610,Moderate Illness,2,0.5743,0.5514,0.5222,27.626,1.3867,23.357,53.966,5.714,0.0652,0.0437
PHB_08533,Healthy,0,0.7903,0.0946,0.9549,24.646,1.1524,23.916,56.506,6.434,0.0289,0.0411
PHB_05803,Severe Disease,3,0.3241,0.6945,0.427,26.858,1.38,22.634,82.158,6.232,0.0552,0.0862
PHB_05307,Severe Disease,3,0.331,0.6875,0.4857,27.693,1.3862,24.959,54.971,6.175,0.059,0.0416
PHB_07087,Moderate Illness,2,0.5287,0.5278,0.5995,26.548,1.2624,23.618,76.076,6.337,0.0537,0.058
PHB_08898,Early Disease,1,0.6727,0.276,0.7748,25.651,1.252,24.212,69.55,6.471,0.0368,0.0487
PHB_07489,Healthy,0,0.8336,0.1307,0.9682,25.31,0.8919,26.57,74.754,6.422,0.0356,0.0364
PHB_09616,Early Disease,1,0.6251,0.2059,0.7717,31.991,1.1228,26.31,68.23,6.34,0.0359,0.0307
PHB_09218,Severe Disease,3,0.2704,0.7432,0.4106,28.945,1.3222,24.147,70.483,6.359,0.0841,0.0524
PHB_01673,Severe Disease,3,0.2373,0.6041,0.4721,27.778,1.2907,26.486,60.329,5.921,0.0628,0.0819
PHB_02359,Severe Disease,3,0.3674,0.8026,0.4205,27.123,1.3104,24.289,68.878,6.101,0.0645,0.0683
PHB_08468,Moderate Illness,2,0.4463,0.4701,0.5983,25.399,1.5019,28.502,66.18,6.332,0.0449,0.0678
PHB_00275,Moderate Illness,2,0.6403,0.5721,0.6225,27.017,1.3333,24.537,64.754,6.129,0.0405,0.0598
PHB_02474,Moderate Illness,2,0.4809,0.507,0.5674,26.401,1.3628,28.475,61.102,6.099,0.043,0.0472
PHB_05490,Moderate Illness,2,0.4424,0.5228,0.6649,26.151,1.3125,26.573,70.971,6.474,0.0624,0.0593
PHB_04772,Early Disease,1,0.6872,0.3261,0.734,25.006,1.1896,30.463,59.742,6.36,0.0259,0.0312
PHB_02108,Severe Disease,3,0.265,0.7304,0.4847,27.69,1.3969,25.812,74.529,6.183,0.0502,0.044
PHB_07501,Moderate Illness,2,0.5137,0.5786,0.6043,26.364,1.2909,27.68,64.87,6.418,0.0686,0.049
PHB_04415,Early Disease,1,0.6768,0.1961,0.7146,26.156,1.3579,22.725,70.69,6.56,0.031,0.0539
PHB_08139,Severe Disease,3,0.2171,0.7948,0.4909,27.668,1.3543,22.774,51.396,5.989,0.0544,0.072
PHB_08661,Early Disease,1,0.6346,0.3652,0.6508,25.872,1.278,28.596,70.617,6.378,0.0229,0.0264
PHB_08240,Early Disease,1,0.6073,0.3982,0.7202,25.436,1.1231,24.979,67.867,6.463,0.041,0.0505
PHB_02418,Moderate Illness,2,0.5316,0.5081,0.6603,27.24,1.3965,24.517,55.389,6.508,0.0661,0.0493
PHB_08772,Severe Disease,3,0.3246,0.6884,0.3638,28.2,1.1847,26.321,59.216,6.098,0.0612,0.068
PHB_02237,Healthy,0,0.7614,0.1001,0.812,23.976,0.9676,23.74,61.412,6.626,0.0446,0.0587
PHB_03768,Early Disease,1,0.7259,0.2843,0.608,25.528,1.2297,22.849,60.108,6.278,0.0508,0.0379
PHB_09792,Healthy,0,0.7903,0.155,0.8448,25.297,0.9574,23.246,74.323,5.772,0.014,0.0122
PHB_09990,Early Disease,1,0.6205,0.3516,0.6888,26.824,1.412,25.039,66.387,6.561,0.0495,0.065
PHB_09966,Healthy,0,0.735,0.1274,1.0219,24.824,1.1925,24.861,68.991,6.271,0.0099,0.0076
PHB_07324,Severe Disease,3,0.4379,0.7235,0.4036,27.101,1.3994,25.699,63.724,5.756,0.0589,0.0837
PHB_01384,Severe Disease,3,0.3042,0.6776,0.4338,27.457,1.478,27.588,62.271,6.328,0.0791,0.0561
PHB_03102,Healthy,0,0.8415,0.0949,0.8662,23.737,1.1594,22.725,74.944,6.843,0.0173,0.031
PHB_03922,Severe Disease,3,0.3181,0.7232,0.5381,27.345,1.5357,28.05,72.21,6.572,0.0573,0.0696
PHB_06686,Early Disease,1,0.6144,0.377,0.7698,25.497,1.2054,26.441,64.742,6.535,0.0371,0.0289
PHB_03195,Moderate Illness,2,0.3903,0.462,0.6292,31.291,1.3153,24.897,77.461,5.844,0.0536,0.0737
PHB_01942,Early Disease,1,0.6756,0.3985,0.7198,24.944,1.2112,26.618,53.884,6.377,0.0421,0.0517
PHB_07714,Healthy,0,0.8798,0.1641,0.9239,24.671,1.1908,24.852,57.951,6.625,0.0145,0.0303
PHB_04897,Healthy,0,0.8321,0.0115,0.7738,24.848,1.1724,21.304,61.017,6.403,0.0174,0.0359
PHB_04783,Severe Disease,3,0.3482,0.7373,0.6149,26.776,1.3951,27.246,76.685,5.954,0.0677,0.0789
PHB_01497,Severe Disease,3,0.3955,0.7638,0.4841,27.368,1.524,26.081,62.598,5.966,0.0552,0.0667
PHB_01958,Healthy,0,0.815,0.1415,0.9462,24.907,1.1086,24.384,65.722,6.305,0.0304,0.0528
PHB_09172,Moderate Illness,2,0.569,0.6,0.5932,25.826,1.4191,22.889,74.247,6.478,0.0394,0.057
PHB_09746,Severe Disease,3,0.358,0.7807,0.4389,28.238,1.3885,23.746,58.782,6.297,0.0618,0.0874
PHB_07333,Early Disease,1,0.6289,0.3992,0.7397,25.976,1.0336,25.573,74.908,6.382,0.0355,0.0233
PHB_07950,Severe Disease,3,0.3693,0.7011,0.4316,27.211,1.4305,26.727,65.836,6.623,0.0526,0.0835
PHB_03018,Healthy,0,0.8976,0.1342,1.0687,24.441,1.0702,24.68,58.408,6.655,0.0284,0.026
PHB_06747,Moderate Illness,2,0.439,0.5176,0.5927,25.856,1.2316,27.517,62.831,6.007,0.0672,0.0535
PHB_00514,Early Disease,1,0.6517,0.2717,0.6931,24.498,1.1356,25.086,52.827,6.226,0.0428,0.0402
PHB_03935,Early Disease,1,0.5942,0.4541,0.7593,25.224,1.1943,23.477,68.929,6.374,0.0175,0.0438
PHB_03026,Healthy,0,0.8458,0.1458,0.8719,24.404,1.1355,26.509,52.98,6.608,0.0367,0.046
PHB_01200,Moderate Illness,2,0.4847,0.5007,0.5829,26.245,1.2658,22.618,67.319,6.292,0.0573,0.0544
PHB_05029,Moderate Illness,2,0.4859,0.4772,0.6628,26.464,1.1985,23.406,62.408,6.866,0.0411,0.0658
PHB_09785,Moderate Illness,2,0.5567,0.4851,0.5152,26.656,1.3102,25.702,61.77,5.684,0.0506,0.0376
PHB_00922,Severe Disease,3,0.4028,0.6644,0.4315,27.0,2.0,24.575,51.252,6.491,0.049,0.0559
PHB_04650,Early Disease,1,0.6463,0.3254,0.8707,26.11,1.1507,22.332,62.42,6.733,0.0197,0.0331
PHB_05333,Healthy,0,0.9182,0.0942,0.9192,25.674,1.2896,26.131,73.654,6.629,0.0153,0.0322
PHB_01077,Moderate Illness,2,0.4199,0.4798,0.7185,26.879,1.2246,25.128,63.677,6.431,0.0312,0.0657
PHB_06769,Severe Disease,3,0.3042,0.6982,0.4813,28.038,1.3571,27.236,70.617,6.316,0.0518,0.069
PHB_09411,Early Disease,1,0.6825,0.3249,0.7414,25.603,1.0436,20.736,72.098,6.537,0.0404,0.0449
PHB_01672,Moderate Illness,2,0.5491,0.5594,0.6229,26.031,1.2606,22.822,64.059,6.138,0.0358,0.0313
PHB_00475,Early Disease,1,0.6632,0.2921,0.7349,24.996,1.2986,26.681,64.063,6.292,0.042,0.0464
PHB_09187,Moderate Illness,2,0.5199,0.544,0.7093,27.722,1.3019,25.191,61.669,6.243,0.0411,0.0575
PHB_08840,Moderate Illness,2,0.4599,0.5332,0.6044,26.415,1.0102,24.175,69.96,6.38,0.0505,0.0671
PHB_05759,Healthy,0,0.8033,0.2196,0.8736,24.398,1.2288,27.035,73.191,6.251,0.018,0.04
PHB_06298,Moderate Illness,2,0.5412,0.5836,0.6685,26.301,1.2274,27.427,66.438,6.149,0.05,0.0579
PHB_02479,Early Disease,1,0.6912,0.3302,0.7337,26.042,1.108,21.271,69.714,6.384,0.0421,0.0565
PHB_05494,Early Disease,1,0.5531,0.2777,0.6511,26.388,1.1175,22.53,71.946,6.356,0.027,0.0504
PHB_03915,Early Disease,1,0.6638,0.3197,0.6805,26.972,1.2642,19.953,72.675,5.945,0.029,0.0664
PHB_02139,Severe Disease,3,0.2649,0.7026,0.4333,26.718,1.1755,24.087,63.141,6.317,0.0539,0.0668
PHB_05455,Severe Disease,3,0.2679,0.7224,0.4206,27.653,1.5626,27.737,61.628,6.069,0.0701,0.0798
PHB_05380,Severe Disease,3,0.3995,0.8152,0.4785,27.809,1.5069,20.445,70.719,6.031,0.0528,0.0707
PHB_08986,Moderate Illness,2,0.4388,0.5396,0.7303,25.585,1.2756,23.832,69.42,6.363,0.038,0.0492
PHB_04024,Severe Disease,3,0.3928,0.7256,0.4398,28.261,1.412,28.261,65.062,6.061,0.0567,0.0586
PHB_03486,Moderate Illness,2,0.518,0.5703,0.5371,26.781,1.3222,25.513,62.988,6.303,0.0447,0.0505
PHB_02456,Moderate Illness,2,0.484,0.5836,0.7554,26.082,1.2302,22.478,67.045,6.358,0.0559,0.0669
PHB_02465,Healthy,0,0.7544,0.2163,0.8681,23.962,1.1135,26.277,74.069,6.517,0.0307,0.0335
PHB_08697,Healthy,0,0.8967,0.1973,0.9721,23.54,1.1754,23.889,67.723,6.578,0.0296,0.0446
PHB_01370,Early Disease,1,0.7612,0.3437,0.7795,23.453,1.1675,26.763,64.481,6.296,0.04,0.0358
PHB_06689,Moderate Illness,2,0.4826,0.5304,0.5769,27.493,1.1777,25.326,59.104,6.264,0.0478,0.0504
PHB_07457,Moderate Illness,2,0.4994,0.5152,0.6117,25.991,1.1357,26.725,76.101,6.063,0.0343,0.061
PHB_09975,Moderate Illness,2,0.4709,0.5071,0.633,25.553,1.1898,26.186,68.022,6.685,0.0475,0.0774
PHB_01902,Healthy,0,0.8295,0.0931,0.9189,24.068,1.126,25.88,64.765,6.763,0.0281,0.0358
PHB_04872,Healthy,0,0.9097,0.2437,0.8743,24.629,1.0913,23.966,58.455,6.313,0.0077,0.0264
PHB_04711,Severe Disease,3,0.4275,0.6907,0.3825,27.855,1.3393,28.219,63.665,6.219,0.0783,0.06
PHB_07887,Early Disease,1,0.6234,0.2138,0.74,26.027,1.4536,24.601,53.824,6.107,0.0579,0.0436
PHB_01794,Moderate Illness,2,0.4624,0.4465,0.696,26.033,1.464,22.98,63.353,6.084,0.0419,0.0688
PHB_02875,Healthy,0,0.827,0.2252,0.9501,23.802,1.9302,25.63,64.476,6.383,0.0299,0.0449
PHB_06218,Moderate Illness,2,0.4162,0.4868,0.6149,25.792,1.3082,26.899,68.114,6.499,0.0413,0.0638
PHB_05214,Severe Disease,3,0.3546,0.7553,0.4777,28.262,1.3785,21.229,59.05,6.19,0.0789,0.0643
PHB_02246,Healthy,0,0.7366,0.1796,1.045,24.407,1.0676,27.553,68.621,6.156,0.0312,0.0318
PHB_01742,Healthy,0,0.8387,0.158,0.796,24.37,1.1759,24.509,68.876,6.385,0.0274,0.0229
PHB_01021,Severe Disease,3,0.3612,0.6678,0.4382,26.36,1.5073,26.339,55.233,6.411,0.0664,0.0795
PHB_00706,Moderate Illness,2,0.4796,0.5664,0.7133,25.989,1.3266,27.24,62.765,6.261,0.045,0.0655
PHB_04295,Severe Disease,3,0.2952,0.6699,0.4641,26.842,1.4649,25.005,69.904,5.94,0.0603,0.0656
PHB_05577,Severe Disease,3,0.3852,0.7312,0.3181,28.139,1.2933,23.956,58.797,6.133,0.0585,0.0584
PHB_07167,Moderate Illness,2,0.4998,0.6234,0.5586,25.816,1.4063,28.767,68.696,6.496,0.0431,0.0523
PHB_08178,Moderate Illness,2,0.5135,0.5195,0.672,27.925,1.6061,23.978,61.076,6.539,0.049,0.076
PHB_00909,Early Disease,1,0.6702,0.2068,0.6814,25.336,1.2399,23.375,71.471,6.079,0.0277,0.0633
PHB_05194,Moderate Illness,2,0.6166,0.513,0.6306,26.32,1.3267,24.388,73.906,6.107,0.0624,0.0595
PHB_03078,Moderate Illness,2,0.5338,0.5572,0.6655,26.473,1.208,23.505,61.837,6.188,0.0516,0.0575
PHB_09367,Moderate Illness,2,0.5456,0.4805,0.6446,26.245,1.2882,29.205,61.402,6.349,0.0624,0.0522
PHB_00595,Healthy,0,0.8195,0.1269,0.9653,23.262,1.0952,27.437,58.253,6.372,0.02,0.0336
PHB_05305,Healthy,0,0.805,0.1085,0.9009,24.269,0.9311,26.61,69.481,6.285,0.0346,0.0339
PHB_00441,Severe Disease,3,0.3154,0.7718,0.4734,27.905,1.3577,24.724,66.912,6.331,0.0551,0.0772
PHB_07607,Severe Disease,3,0.2137,0.6504,0.496,28.229,1.4277,25.612,66.999,6.483,0.0574,0.0433
PHB_04093,Severe Disease,3,0.3582,0.7904,0.5101,27.312,1.392,17.991,47.459,6.398,0.056,0.0699
PHB_06135,Early Disease,1,0.7119,0.2652,0.8372,25.789,1.2749,22.741,66.273,6.483,0.0424,0.0497
PHB_00011,Early Disease,1,0.8719,0.3339,0.6556,25.988,1.2562,25.103,66.088,6.346,0.0188,0.0446
PHB_03777,Moderate Illness,2,0.5215,0.6054,0.5783,26.491,1.2881,20.626,63.215,6.427,0.0625,0.0524
PHB_09000,Moderate Illness,2,0.484,0.5536,0.5481,27.381,1.3333,30.068,67.472,6.219,0.0557,0.0418
PHB_03709,Early Disease,1,0.6102,0.3892,0.7024,27.051,1.1226,23.455,79.212,6.576,0.0345,0.0725
PHB_03781,Healthy,0,0.8317,0.1587,0.7294,24.205,1.0627,27.55,59.195,6.679,0.0239,0.0141
PHB_00094,Early Disease,1,0.6791,0.2703,0.7311,25.913,1.1118,25.643,73.795,6.496,0.0393,0.049
PHB_09240,Severe Disease,3,0.4099,0.755,0.4575,27.24,1.3779,22.73,61.194,6.124,0.0657,0.0821
PHB_03950,Early Disease,1,0.6953,0.375,0.7602,24.864,1.0682,21.139,77.007,6.533,0.0458,0.0599
PHB_05786,Moderate Illness,2,0.5432,0.5577,0.6943,27.493,1.4748,24.203,63.043,5.773,0.0472,0.0557
PHB_04871,Early Disease,1,0.7306,0.2632,0.7082,25.687,1.2481,21.694,67.586,6.205,0.0312,0.0601
PHB_04803,Healthy,0,0.821,0.0661,0.7694,23.444,1.0537,26.34,73.569,6.451,0.0201,0.045
PHB_04868,Healthy,0,0.757,0.1881,0.9288,23.079,1.2027,28.275,62.256,6.615,0.0208,0.0364
PHB_00293,Severe Disease,3,0.321,0.6326,0.3868,26.137,1.346,22.056,61.247,6.099,0.0636,0.0647
PHB_07889,Moderate Illness,2,0.5423,0.5272,0.5388,26.97,1.0537,27.1,54.327,6.163,0.0501,0.0577
PHB_07406,Healthy,0,0.7195,0.1432,0.8401,23.203,1.1906,22.216,63.449,6.866,0.0285,0.0435
PHB_05596,Moderate Illness,2,0.4674,0.4992,0.5951,27.774,1.471,23.81,67.3,6.386,0.0636,0.055
PHB_02887,Healthy,0,0.8202,0.0943,0.7852,24.678,1.0365,22.81,75.393,6.417,0.0266,0.0507
PHB_06455,Moderate Illness,2,0.4036,0.5212,0.7238,26.496,1.2318,23.463,62.358,6.382,0.0328,0.0502
PHB_02543,Early Disease,1,0.6708,0.2306,0.7625,25.094,1.3285,26.393,67.523,6.412,0.0224,0.0729
PHB_01766,Healthy,0,0.7573,0.1972,0.898,24.321,1.1473,24.901,71.783,6.357,0.0211,0.0309
PHB_06801,Early Disease,1,0.6582,0.3207,0.7537,25.591,1.0063,26.739,65.499,6.802,0.0304,0.0436
PHB_01878,Early Disease,1,0.6727,0.2712,0.6884,24.993,1.1614,24.881,69.916,6.369,0.0346,0.0406
PHB_01982,Early Disease,1,0.6563,0.3827,0.7076,25.232,1.2997,25.566,59.094,6.314,0.0383,0.0454
PHB_09730,Severe Disease,3,0.2838,0.7176,0.4413,27.0,1.4386,22.396,59.991,6.204,0.0717,0.065
PHB_09609,Severe Disease,3,0.4966,0.8233,0.4922,27.77,1.3706,24.232,70.652,6.447,0.0674,0.0466
PHB_02686,Moderate Illness,2,0.441,0.4965,0.5683,26.206,1.3383,21.382,66.882,6.141,0.044,0.0914
PHB_08931,Moderate Illness,2,0.5517,0.5124,0.6751,26.871,1.395,26.945,63.395,6.02,0.0378,0.053
PHB_03459,Healthy,0,0.8577,0.1408,0.9127,23.671,1.3424,22.839,77.34,6.059,0.0165,0.0246
PHB_04542,Healthy,0,0.8033,0.1623,0.7931,24.118,1.0716,23.879,78.522,6.1,0.0257,0.0372
PHB_02179,Early Disease,1,0.6785,0.3078,0.7531,26.669,1.3184,26.374,67.233,6.237,0.0366,0.0598
PHB_04451,Severe Disease,3,0.4473,0.7385,0.5419,27.066,1.3426,26.338,59.191,6.347,0.0662,0.0688
PHB_03860,Healthy,0,0.8043,0.1236,0.8876,25.443,0.9291,26.169,72.064,6.319,0.0319,0.0534
PHB_07624,Healthy,0,0.7683,0.0758,0.8717,24.347,0.9983,28.713,74.819,6.309,0.0349,0.0155
PHB_07655,Healthy,0,0.7815,0.1437,0.9225,24.63,1.0788,25.272,59.384,6.561,0.0312,0.0387
PHB_04520,Healthy,0,0.764,0.2533,0.8881,24.793,1.3082,27.767,82.352,6.39,0.0153,0.0307
PHB_02518,Healthy,0,0.7579,0.1784,0.8934,24.545,1.1341,23.551,64.727,6.449,0.0323,0.0241
PHB_04837,Healthy,0,0.7599,0.1738,0.8909,24.251,0.99,25.255,69.943,6.598,0.0286,0.0432
PHB_02886,Healthy,0,0.8649,0.1111,0.8051,24.831,1.2062,28.426,68.807,6.347,0.0207,0.005
PHB_07282,Healthy,0,0.8171,0.2157,0.9358,25.524,1.1316,26.414,60.155,6.319,0.0411,0.0318
PHB_06256,Severe Disease,3,0.2851,0.6676,0.4802,27.643,1.4614,23.4,60.521,6.187,0.0702,0.0611
PHB_04540,Early Disease,1,0.7455,0.4191,0.6693,24.833,1.2005,29.903,70.401,6.627,0.0451,0.0318
PHB_05640,Moderate Illness,2,0.4864,0.541,0.6791,25.729,1.2446,25.429,61.381,5.88,0.0484,0.0646
PHB_09460,Severe Disease,3,0.2538,0.7497,0.5773,25.669,1.0752,22.891,68.287,6.549,0.0605,0.0611
PHB_03482,Moderate Illness,2,0.5458,0.5313,0.5153,26.047,1.489,24.407,67.765,6.408,0.058,0.0541
PHB_01278,Healthy,0,0.8208,0.1225,0.8742,23.641,0.9462,25.566,59.681,6.817,0.0285,0.0247
PHB_03147,Moderate Illness,2,0.3647,0.5408,0.5625,25.671,1.2434,23.101,60.264,6.074,0.0497,0.0513
PHB_08263,Severe Disease,3,0.2565,0.7271,0.4335,26.638,1.543,28.627,58.562,6.078,0.0659,0.0847
PHB_03206,Early Disease,1,0.5509,0.3023,0.7755,25.862,1.2199,25.235,76.187,6.503,0.0308,0.0477
PHB_09893,Healthy,0,0.8253,0.0777,0.9962,24.409,1.0103,26.065,64.469,6.572,0.0251,0.0307
PHB_02743,Healthy,0,0.825,0.1469,0.8445,25.061,1.1143,25.612,67.746,6.076,0.0114,0.0364
PHB_06077,Moderate Illness,2,0.4481,0.526,0.6085,27.414,1.0802,23.701,73.209,6.405,0.0463,0.0663
PHB_04048,Early Disease,1,0.6111,0.3424,0.7619,25.292,1.1738,23.273,66.358,6.493,0.0207,0.0331
PHB_05732,Severe Disease,3,0.3777,0.7685,0.3955,27.652,1.4659,27.674,69.888,6.166,0.0498,0.0788
PHB_02946,Early Disease,1,0.6228,0.3579,0.7145,26.054,1.2229,28.415,72.395,6.153,0.0404,0.0529
PHB_05791,Severe Disease,3,0.2549,0.7419,0.4528,26.892,1.4508,23.947,65.788,5.895,0.0716,0.0643
PHB_06795,Moderate Illness,2,0.5396,0.5746,0.5305,26.795,1.2891,25.861,69.652,6.789,0.0576,0.0506
PHB_06544,Moderate Illness,2,0.4619,0.5372,0.7613,26.878,1.2882,25.278,67.923,6.391,0.0471,0.0536
PHB_00701,Healthy,0,0.8075,0.1474,0.8156,22.533,1.121,24.318,65.973,6.632,0.0294,0.0548
PHB_03575,Early Disease,1,0.5962,0.2329,0.6577,25.336,1.2206,22.898,55.752,6.367,0.0637,0.0292
PHB_07700,Moderate Illness,2,0.6127,0.3443,0.6793,25.895,1.3702,23.747,70.232,6.415,0.0315,0.0552
PHB_02516,Severe Disease,3,0.201,0.729,0.5148,27.708,1.5065,25.103,46.501,6.208,0.0525,0.0547
PHB_03001,Severe Disease,3,0.2207,0.7686,0.5593,27.508,1.3842,26.71,59.976,6.238,0.0672,0.0652
PHB_05821,Moderate Illness,2,0.5038,0.5453,0.5118,25.89,1.352,23.496,72.957,6.12,0.0347,0.0532
PHB_08582,Early Disease,1,0.6543,0.272,0.738,25.67,1.3783,26.119,58.198,6.221,0.0258,0.0336
PHB_03685,Healthy,0,0.7925,0.1673,0.9064,23.917,1.0583,25.405,68.078,6.539,0.0281,0.0217
PHB_02996,Early Disease,1,0.6146,0.2597,0.6892,25.848,1.1154,26.626,70.69,6.365,0.0229,0.0316
PHB_04253,Healthy,0,0.8708,0.0919,0.8461,25.236,1.2798,22.968,70.798,6.378,0.0282,0.0326
PHB_03412,Healthy,0,0.7547,0.0335,0.8814,24.301,1.0354,28.094,57.215,6.911,0.0123,0.0189
PHB_07963,Moderate Illness,2,0.5839,0.4819,0.6081,26.245,1.5679,23.91,55.621,6.291,0.0362,0.0593
PHB_06310,Moderate Illness,2,0.4451,0.577,0.5828,24.96,1.3352,25.814,63.896,6.439,0.0687,0.0444
PHB_08612,Moderate Illness,2,0.4933,0.5025,0.5069,27.227,1.0574,25.438,73.011,6.25,0.0417,0.062
PHB_05013,Healthy,0,0.76,0.2181,0.9735,24.395,0.9824,28.165,77.796,6.072,0.0358,0.0242
PHB_07751,Severe Disease,3,0.3337,0.6785,0.4574,27.577,1.4139,21.505,59.48,5.999,0.0587,0.0541
